weeks,M,T,W,R,F,Sa,Su,target,bins
704,-0.001527576947348841,0.003270470634732625,0.015765401473734286,0.023379951851707048,0.03038724043598151,0.0,0.0,0.01222997199589404,4.0
705,0.01222997199589404,-0.0007224015082600843,-0.004304856681238256,0.009270651215240733,0.008353899409875076,0.0,0.0,-0.004287540817793811,1.0
706,-0.004287540817793811,-0.0028686460734324015,-0.003717582664936714,0.0025198701462878503,0.00015974835360310635,0.0,0.0,-0.0005992688854643546,2.0
707,-0.0005992688854643546,0.012352459640068147,0.0020899433734049566,0.0010236388233781923,0.002593847034097152,0.0,0.0,-0.005865374043474425,1.0
708,-0.005865374043474425,0.00425483061440346,0.0017282812191030672,-0.0009816048139352773,0.00031422231394184763,0.0,0.0,0.0,2.0
709,0.0,-0.012845264907010545,-0.0031075642537867765,0.006403776606593858,-0.002143314995649348,0.0,0.0,-0.00457974165516184,1.0
710,-0.00457974165516184,0.005056463682754142,-0.0013909828372913324,0.007488293579255512,0.008881301711129552,0.0,0.0,-0.000821961329061871,2.0
711,-0.000821961329061871,-0.005496868797907339,-0.0038659219745529327,0.00047421662879454374,-0.0017793721773546878,0.0,0.0,-0.007468017606987232,1.0
712,-0.007468017606987232,-0.0031549236574202055,0.0008795818732689753,0.00023973867819826467,-0.001399320554977379,0.0,0.0,-0.008356822388294383,1.0
713,-0.008356822388294383,-0.0071260928939205215,-0.0052555904698952105,0.0015918005196988716,0.0010598378601001102,0.0,0.0,-0.0036733602826197753,1.0
714,-0.0036733602826197753,-0.0019236760491523341,-0.0032828747036921513,0.0037334307398095845,0.00530939784298301,0.0,0.0,0.005281356952249183,3.0
715,0.005281356952249183,0.004043677114755617,-0.0028288440253483316,0.0016174447325134622,0.01881182962675343,0.0,0.0,-0.005965418437744674,1.0
716,-0.005965418437744674,0.0015942968606479369,-0.0015942968606479369,-0.001596782774408112,-0.01044188603945706,0.0,0.0,-0.0028299877559110342,1.0
717,-0.0028299877559110342,-0.0004049645781805111,0.0024272099589479623,-0.0016174447325134622,0.0036356088887510296,0.0,0.0,-0.000806764863402698,2.0
718,-0.000806764863402698,0.005633793573195156,0.005203145650144236,-0.0044009113367220465,0.002402908674048909,0.0,0.0,-0.003205142987471099,1.0
719,-0.003205142987471099,0.00040122768843176004,-0.008459289115593016,-0.002835719964869199,-0.0016240117054016068,0.0,0.0,-0.007750432385750905,1.0
720,-0.007750432385750905,-0.005337738084988608,-0.0008237109349868987,0.0,0.006161449019975507,0.0,0.0,0.00653065994538693,3.0
721,0.00653065994538693,-0.004893961554062187,0.005707288149445766,-0.006934545388684654,-0.005747179237074462,0.0,0.0,-0.004125418494259847,1.0
722,-0.004125418494259847,-0.0033125827392792573,-0.0033236548462465265,-0.007938245203408911,0.005020981259621138,0.0,0.0,-0.005860246956288506,1.0
723,-0.005860246956288506,0.0016778904837631003,0.0012564944061477235,-0.003354250524339797,-0.00042010502083744683,0.0,0.0,0.002936847105232232,3.0
724,0.002936847105232232,0.007096656925941858,0.020177785791716474,-0.001632024036039681,-0.00245294891464809,0.0,0.0,0.0032693244701933466,3.0
725,0.0032693244701933466,0.0,0.0036652209184913076,0.0004064458449803965,-0.00325601828297728,0.0,0.0,0.0036622380707722613,3.0
726,0.0036622380707722613,0.0,0.0036489357110935927,-0.0044616013438689706,0.0004064458449803965,0.0,0.0,-0.0004064458449803965,2.0
727,-0.0004064458449803965,0.0004064458449803965,0.0,0.007287433060493953,0.015212475384482005,0.0,0.0,0.003965112300044815,3.0
728,0.003965112300044815,0.018039670127167895,0.006971438075614955,0.005772576989389044,0.005739445506851126,0.0,0.0,0.006844087552006606,3.0
