Date,leveled log Nasdaq,leveled log S&P,leveled log DJIA
1985-05-17,0.024210432996723874,0.02052356939017841,-0.0278070035524696
1985-05-20,0.037175244861457735,0.029634081416626046,-0.01098328515780726
1985-05-21,0.03644578686847488,0.041506811191010407,-0.006688532926547187
1985-05-22,0.034012925264308436,0.0407605381900078,-0.0068720674435084825
1985-05-23,0.03225897987945903,0.034724753968947475,-0.009886221571435313
1985-05-24,0.028107097831139072,0.0292960750213771,-0.015074273813864895
1985-05-28,0.02874548913705155,0.03264279731648756,-0.007844046900616082
1985-05-29,0.023551864382878485,0.03003201739286432,-0.01154955252943242
1985-05-30,0.022818543657432855,0.02874885562955498,-0.007690558942046694
1985-05-31,0.020017543441064767,0.028797299184697422,-0.010871038436472712
1985-06-03,0.024789157717031607,0.03801436684829085,0.002862464589057062
1985-06-04,0.020617870576150388,0.0364757515900056,-0.005575268580128665
