date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2013-09-27,87227196.9833,50622,1516020000.0,128.94,0.0,4450.0,83.26532184,null,
2013-09-28,72473414.9954,44892,1573400000.0,133.77,0.0,4400.0,27.8548681,null,
2013-09-29,68245694.6623,41536,1587290000.0,134.9,0.0,4325.0,19.56024562,null,
2013-09-30,94891407.0479,43296,1614350000.0,137.15,0.0,3875.0,26.87542642,null,
2013-10-01,130630074.873,53695,1562270000.0,132.68,0.0,4800.0,35.42343641,null,
2013-10-02,144166179.213,63779,1555470000.0,132.05,0.0,4650.0,45.5006027,null,
2013-10-03,102417440.668,59453,1348700000.0,114.45,0.0,5025.0,31.1382287,null,
2013-10-04,90942717.2216,53844,1454900000.0,123.41,0.0,4450.0,32.64055375,null,
2013-10-05,62196201.6443,47090,1517020000.0,128.63,0.0,5275.0,26.74333909,null,
2013-10-06,48143514.2704,43632,1514540000.0,128.36,0.0,4975.0,21.38243077,null,
2013-10-07,75120805.76,42892,1527760000.0,129.43,0.0,3750.0,33.20804707,null,
2013-10-08,83596850.7633,44543,1496500000.0,126.74,0.0,4000.0,16.77562844,null,
2013-10-09,97078909.3939,48428,1486510000.0,125.85,0.0,4550.0,26.54051455,null,
2013-10-10,90517433.8351,57252,1544020000.0,130.67,0.0,4900.0,28.58793526,null,
2013-10-11,93067118.4688,52270,1545600000.0,130.75,0.0,4425.0,27.71234198,null,
2013-10-12,82340531.1191,49270,1547970000.0,130.9,0.0,4900.0,32.20259509,null,
2013-10-13,77397514.2389,52011,1599430000.0,135.19,0.0,5950.0,31.62979861,null,
2013-10-14,118819651.403,55826,1648470000.0,139.27,0.0,6175.0,25.13719125,null,
2013-10-15,102136504.873,55534,1667100000.0,140.77,0.0,6450.0,46.01328054,null,
2013-10-16,146692100.51,53616,1725840000.0,145.65,0.0,5400.0,37.72362124,null,
2013-10-17,112925000.977,44086,1688200000.0,142.41,0.0,4350.0,38.86465884,null,
2013-10-18,117831560.844,60291,1735750000.0,146.37,0.0,4550.0,45.64097245,null,
2013-10-19,154307006.238,54878,1849630000.0,155.91,0.0,5425.0,36.07952437,null,
