Date,DJIA,S&P,NASDAQ
1986-05-12,1786.459961,237.850006,388.700012
1986-05-13,1790.550049,237.580002,387.299988
1986-05-14,1790.430054,236.41000400000001,387.5
1986-05-15,1803.939941,237.539993,387.5
1986-05-16,1770.959961,234.42999300000002,384.700012
1986-05-19,1763.140015,232.75999500000003,384.200012
1986-05-20,1758.560059,233.19999700000002,383.5
1986-05-21,1783.47998,236.11000099999998,386.600006
1986-05-22,1782.609985,235.44999700000002,386.799988
1986-05-23,1812.25,240.11999500000002,390.899994
1986-05-27,1833.160034,241.350006,393.299988
1986-05-28,1862.0100100000002,244.75,396.600006
1986-05-29,1874.869995,246.63000499999998,396.899994
1986-05-30,1872.5100100000002,247.979996,398.799988
1986-06-02,1874.189941,246.039993,400.700012
1986-06-03,1860.7399899999998,245.039993,398.600006
1986-06-04,1876.3499760000002,245.50999500000003,400.0
1986-06-05,1865.180054,243.940002,399.399994
1986-06-06,1879.97998,245.649994,400.600006
1986-06-09,1878.77002,245.669998,398.799988
1986-06-10,1836.380005,239.960007,392.899994
1986-06-11,1842.030029,239.580002,393.700012
1986-06-12,1846.069946,241.24000499999997,396.200012
1986-06-13,1848.219971,241.710007,398.200012
1986-06-16,1880.52002,245.729996,399.600006
1986-06-17,1877.619995,246.13000499999998,398.899994
1986-06-18,1867.839966,244.350006,394.799988
1986-06-19,1864.4000239999998,244.99000499999997,395.899994
1986-06-20,1864.4000239999998,244.059998,396.0
1986-06-23,1873.4899899999998,247.580002,396.899994
1986-06-24,1867.430054,245.25999500000003,397.700012
1986-06-25,1879.540039,247.02999900000003,401.5
1986-06-26,1890.040039,248.92999300000002,402.200012
1986-06-27,1885.969971,248.74000499999997,403.100006
1986-06-30,1884.97998,249.600006,404.200012
1986-07-01,1889.7600100000002,250.669998,407.0
1986-07-02,1905.5100100000002,252.039993,408.299988
1986-07-03,1911.280029,252.69999700000002,410.0
1986-07-07,1893.97998,251.789993,409.0
